YEAR,ZIPCODE,STATE,REGION,Nearest_UrgentCare,Nearest_emDepart,Nearest_medICU,Nearest_traumaCenter,Nearest_pedICU,Nearest_healthClinic,percent_uninsured,Median_household_income,STATE_ABBR
2020,95953,California,West,8.3,7.02,7.02,9.7,42.35,0.3,7.8,59875.0,CA
2020,95954,California,West,4.46,5.26,5.26,14.66,77.06,0.8,4.2,53547.0,CA
2020,95955,California,West,23.07,23.17,23.17,23.18,36.51,2.03,9.65,47083.0,CA
2020,95957,California,West,12.77,9.58,9.58,15.12,41.89,8.61,9.68,60625.0,CA
2020,95959,California,West,2.71,3.61,3.61,32.51,38.44,2.73,7.53,70975.0,CA
2020,95960,California,West,9.25,9.85,9.85,32.6,44.17,1.59,29.39,33910.0,CA
2020,95961,California,West,4.75,4.75,4.75,4.75,28.12,1.5,6.54,60348.0,CA
2020,95913,California,West,21.07,5.61,20.72,20.72,62.23,5.46,10.33,49937.0,CA
2020,95963,California,West,18.22,12.3,12.3,18.13,68.03,0.18,10.33,49937.0,CA
2020,95965,California,West,15.28,2.73,2.73,20.48,57.2,1.81,5.16,35668.0,CA
2020,95958,California,West,11.41,12.13,12.13,12.23,63.64,8.89,5.16,35668.0,CA
2020,95966,California,West,18.94,2.05,2.05,24.94,53.33,1.67,6.31,48228.0,CA
2020,95940,California,West,20.0,11.14,11.14,30.04,55.73,6.31,6.31,48228.0,CA
2020,95968,California,West,19.85,4.81,4.81,20.62,50.17,4.59,5.8,31375.0,CA
2020,95969,California,West,0.22,1.76,1.76,13.02,72.43,0.38,5.74,49681.0,CA
2020,95967,California,West,1.03,1.67,1.67,13.59,73.16,1.03,5.74,49681.0,CA
2020,95970,California,West,18.47,11.8,14.15,25.12,62.41,10.75,11.82,65625.0,CA
2020,95971,California,West,30.58,2.67,37.22,30.5,65.83,2.02,3.03,58523.0,CA
2020,95976,California,West,1.11,1.09,1.09,1.24,76.95,0.55,5.18,73817.0,CA
2020,95973,California,West,1.98,2.03,2.03,2.65,78.47,2.03,5.18,73817.0,CA
2020,95975,California,West,6.11,5.46,5.46,24.57,33.51,5.56,3.46,68172.0,CA
2020,95977,California,West,13.22,12.49,12.49,17.43,30.71,11.42,7.64,62830.0,CA
2020,95979,California,West,22.49,21.71,25.38,25.54,38.53,0.87,1.76,31667.0,CA
